,Site,Latitude,Longitude,Compo_maj,MAP,MAT,GDD5,Rad,FFD,LFD
0,321,46.9333,-72.1,EST,3.429269406,2.926666667,1450.566667,5138.003333,249.1,144.8333333
1,325,50.45,-73.6333,CENTRE,2.276511416,-1.086666667,1085.453333,4732.16,244.5,163.9333333
2,326,49.0333,-73.45,CENTRE,2.30909589,0.123333333,1180.313333,4831.62,235.2333333,161.7
3,329,47.8667,-71.2,ADMIX,2.353378995,-0.473333333,1037.48,5376.19,201.9333333,170.4666667
4,332,48.5,-67.1167,EST,2.415570776,1.13,1217.323333,5062.813333,230.4666667,161.0666667
5,333,49.6167,-77.75,CENTRE,2.455799087,0.103333333,1267.59,4906.656667,234.3333333,162.8666667
6,336,48.3667,-76.95,CENTRE,2.843972603,0.92,1293.313333,4923.723333,229.2666667,163.6666667
7,338,47.0833,-76.55,CENTRE,2.574,2.243333333,1403.506667,4924.296667,238.1333333,160.6666667
8,342,50.6667,-68.7667,CENTRE,2.906228311,-0.853333333,942.29,4759.436667,249.7333333,160.7666667
9,345,48.9333,-69.1333,ADMIX,2.284675799,1.73,1153.81,4810.56,260.3,143.2666667
10,352,49.6,-71.3,EST,3.389525114,0.403333333,1201.03,4919.896667,241.3666667,160.1
11,355,49.6333,-63.3667,ADMIX,2.34716895,1.81,946.9133333,4383.556667,271.6666667,141.2333333
12,369,48.8833,-64.65,EST,2.701205479,1.92,1216.843333,4872.223333,263.3666667,146.6333333
13,1329,46.05,-62.85,EST,2.489031963,6.13,1746.226667,4598.913333,286.4333333,136.6666667
14,1528,46.8333,-67.1667,EST,2.626958904,3.26,1434.546667,4766.673333,253.9666667,145.4666667
15,1530,45.9333,-60.1667,EST,3.645917808,6.44,1678.783333,4691.96,287.5,139.9333333
16,1531,45.5833,-66.4833,EST,3.088100457,5.09,1706.32,5092.736667,252.7666667,146.6333333
17,1534,47.7,-68.3167,EST,2.54116895,2.656666667,1352.833333,4838.583333,247.2333333,155.9666667
18,1538,47.75,-65.1167,EST,2.535771689,4.056666667,1482.01,4664.2,263,142.1333333
19,2209,60.17,-130.52,OUEST,1.162410959,1.766666667,1176.52,3404.203333,262.3333333,137.8666667
20,3268,44.2167,-90.3667,CENTRE,2.217634703,6.363333333,2175.48,5106.56,257.4666667,133.5333333
21,4277,45.7333,-88.9833,CENTRE,2.213890411,4.536666667,1778.513333,5061.446667,241.3,155.3
22,4344,46.1167,-90.9333,CENTRE,2.31683105,4.453333333,1839.953333,5021.636667,255.6333333,144.1333333
23,4351,46.05,-84.7833,CENTRE,1.943744292,5.7,1752.456667,4745.69,273.2333333,134.7
24,4353,47.7,-91.3,CENTRE,1.951552511,3.293333333,1694.466667,4858.456667,260.1333333,139.0666667
25,4360,45.5,-68.8,EST,2.880420091,5.71,1853.413333,4987.166667,259.0666667,137.2333333
26,4420,64.7,-148.3,ADMIX,0.837872146,-2.61,1149.733333,3441.276667,245.3,138.2333333
27,4729,67,-151.5167,CENTRE,0.952100457,-5.143333333,885.5233333,3206.506667,238.0333333,144.7333333
28,6801,47.3333,-53.1167,EST,3.94796347,4.62,1107.733333,4575.49,270.5,155.0333333
29,6802,48.2167,-58.9167,EST,3.132858447,4.803333333,1208.583333,4311.166667,278.6333333,143.4666667
